Master_Group_Code,item_code,bill_no,brcode,Tran_Type,d_date,year,month,monthnumber,Year_Month_Brcode,Tran_Month,Channel,qty,Disc_Amt,Net_Sales,Margin_Value,MRP_Value,Spl_disc_Amt,Tot_Disc_Amt,Cost_Value,Main_Category,pl_Flag
-,202868,614/2022/S/7034,614,Sales,2022-04-20T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,77.97,19.8,77.97,0.0,0.0,58.17,FMCG,OTHERS
GM0012,338203,614/2022/S/8117,614,Sales,2022-04-23T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,311.61,138.23,311.61,0.0,0.0,173.38,FMCG,PL
GM0003,204322,614/2022/S/6538,614,Sales,2022-04-19T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.20,0.00,7.93,1.78,1.98,0.0,0.0,6.15,PHARMA,OTHERS
GM0003,208978,614/2022/S/6538,614,Sales,2022-04-19T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.20,0.00,29.37,10.62,14.69,0.0,0.0,18.75,PHARMA,OTHERS
GM0007,214450,614/2022/S/4975,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,6.47,58.19,8.08,6.47,0.01,6.4799999999999995,50.11,PHARMA,OTHERS
-,309237,614/2022/S/6253,614,Sales,2022-04-18T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,38.14,10.8,38.14,0.0,0.0,27.34,FMCG,OTHERS
GM0007,342563,614/2022/S/9530,614,Sales,2022-04-27T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.80,0.00,84.63,25.62,10.58,0.0,0.0,59.01,PHARMA,OTHERS
GM0007,372226,614/2022/S/3026,614,Sales,2022-04-09T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,84.11,756.96,191.77,84.11,0.0,84.11,565.19,PHARMA,OTHERS
-,341581,614/2022/S/6253,614,Sales,2022-04-18T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,72.03,6.53,72.03,0.0,0.0,65.50,FMCG,OTHERS
-,249579,614/2022/S/7034,614,Sales,2022-04-20T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,27.97,5.39,27.97,0.0,0.0,22.58,FMCG,OTHERS
-,250842,614/2022/S/5369,614,Sales,2022-04-16T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,64.41,7.9,64.41,0.0,0.0,56.51,FMCG,OTHERS
-,373410,614/2022/S/7034,614,Sales,2022-04-20T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,50.85,8.95,50.85,0.0,0.0,41.90,FMCG,OTHERS
-,356013,614/2022/S/7034,614,Sales,2022-04-20T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,84.75,16.31,84.75,0.0,0.0,68.44,FMCG,OTHERS
GM0008,383988,614/2022/S/8117,614,Sales,2022-04-23T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,84.75,21.19,84.75,0.0,0.0,63.56,FMCG,OTHERS
GM0008,305475,614/2022/S/7034,614,Sales,2022-04-20T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,38.14,20.75,38.14,0.0,0.0,17.39,FMCG,OTHERS
GM0007,342006,614/2022/S/5044,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,16.79,151.09,24.18,167.88,0.0,16.79,126.91,PHARMA,OTHERS
-,204597,614/2022/S/6253,614,Sales,2022-04-18T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,120.34,24.56,120.34,0.0,0.0,95.78,FMCG,OTHERS
GM0001,225548,614/2022/S/3026,614,Sales,2022-04-09T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,82.14,17.26,82.14,0.0,0.0,64.88,FMCG,OTHERS
GM0001,225548,614/2022/S/4972,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,82.14,16.37,82.14,0.0,0.0,65.77,FMCG,OTHERS
GM0013,349503,614/2022/S/10480,614,Sales,2022-04-29T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,95.0,45.13,95.00,0.0,0.0,49.88,FMCG,PL
GM0001,334764,614/2022/S/5153,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,322.03,50.04,322.03,0.0,0.0,271.99,FMCG,OTHERS
GM0001,344520,614/2022/S/569,614,Sales,2022-04-02T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,118.64,29.66,118.64,0.0,0.0,88.98,FMCG,OTHERS
GM0001,345646,614/2022/S/569,614,Sales,2022-04-02T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,148.31,37.08,148.31,0.0,0.0,111.23,FMCG,OTHERS
GM0007,305076,614/2022/S/409,614,Sales,2022-04-02T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,6.00,45.26,407.38,54.94,15.09,0.06,45.32,352.44,PHARMA,OTHERS
